particip_code,pred_trialN,pred_Cond,pred_Cont,pred_Cat,pred_Obj,pred_predictedValue,pred_acc,pred_rt,rec_session,rec_trialType,rec_Cond,rec_Cat,rec_Obj,rec_response,rec_acc,rec_rt,rec_respConf,rec_rtConf,rec_respCont
6,160,4,6,FruitsAndVegs,cherrytomato2,3,1,0.941691953281406,2,old,4,FruitsAndVegs,cherrytomato2,0,0,1.66025139170233,2,1.02519273245707,5
6,161,4,4,Instruments,trombone2,1,1,0.616990220732987,2,old,4,Instruments,trombone2,1,1,2.90377696941141,3,1.03470707905944,6
6,162,1,1,Instruments,flute2,1,1,1.05917208350729,2,old,1,Instruments,flute2,0,0,1.75142779340968,3,0.355291968327947,6
6,163,4,6,FruitsAndVegs,cauliflower,3,1,0.782029575493652,1,old,4,FruitsAndVegs,cauliflower,1,1,0.993811585474759,6,0.192700396990404,6
6,164,1,1,HouseObjects,thermometer,1,0,0.743947172537446,1,old,1,HouseObjects,thermometer,1,1,1.68726264248835,3,0.444467037799768,5
6,165,1,2,HouseObjects,cushion,1,0,1.96239868656266,1,old,1,HouseObjects,cushion,0,0,2.82160335581284,2,0.552497287455481,5
6,166,1,1,FruitsAndVegs,coconut,1,0,0.836834969988558,2,old,1,FruitsAndVegs,coconut,0,0,1.66910183476284,2,0.294475841801614,5
6,167,4,6,FruitsAndVegs,carrot,3,1,0.687243398919236,1,old,4,FruitsAndVegs,carrot,1,1,1.21087339229416,6,0.648316844250076,6
6,168,4,5,HouseObjects,sponge,2,1,0.689825566543732,2,old,4,HouseObjects,sponge,1,1,2.43316143471748,2,2.50174843962304,4
6,169,3,5,FruitsAndVegs,lemon,2,0,0.540779230301268,1,old,3,FruitsAndVegs,lemon,1,1,1.75033219228499,3,0.538349728332832,6
6,170,4,4,Instruments,laud,1,1,0.575846164254472,2,old,4,Instruments,laud,1,1,1.06765112548601,5,0.0934843485010788,6
6,171,1,2,FruitsAndVegs,pear,3,1,1.45840035175206,2,old,1,FruitsAndVegs,pear,1,1,1.46440531080589,5,0.0269900828134269,5
6,172,4,4,Instruments,flutetrans2,1,1,0.59753656515386,1,old,4,Instruments,flutetrans2,1,1,1.44615854846779,6,9.97458701021969e-05,6
6,173,1,2,Instruments,guitarcase,3,0,0.767918258439749,1,old,1,Instruments,guitarcase,1,1,1.30681290075881,4,0.289065188611858,4
6,174,4,4,Instruments,laud,1,1,0.634175378945656,2,old,4,Instruments,laud,1,1,1.06765112548601,5,0.0934843485010788,6
